77,select apstar_id from apogeestar where apogeestar.dec between -.# and -.# and apogeestar.ra between # and #
2019-02-26 17:03:00,1
2019-02-26 17:27:00,3
2019-02-26 23:10:00,1
2019-02-27 00:03:00,1
2019-02-27 01:27:00,1
2019-02-27 01:29:00,1
2019-02-27 09:58:00,1
2019-02-27 10:00:00,1
2019-02-27 10:05:00,1
2019-02-27 10:06:00,3
2019-02-28 12:15:00,1
2019-02-28 12:17:00,1
2019-03-01 10:23:00,1
2019-03-01 18:09:00,5
2019-03-05 05:34:00,1
2019-03-05 05:41:00,1
2019-03-05 05:43:00,1
2019-03-05 05:45:00,2
2019-03-05 06:27:00,1
2019-03-05 07:47:00,1
2019-03-05 10:02:00,3
2019-03-05 11:08:00,1
2019-03-05 18:05:00,4
2019-03-05 18:07:00,1
2019-03-05 18:21:00,1
2019-03-05 18:22:00,1
2019-03-05 18:23:00,3
2019-03-05 18:24:00,4
2019-03-05 18:26:00,3
2019-03-05 18:27:00,3
2019-03-05 18:29:00,2
2019-03-05 18:30:00,1
2019-03-05 18:31:00,7
2019-03-05 20:05:00,1
2019-03-05 20:06:00,2
2019-03-05 21:12:00,1
2019-03-07 07:19:00,1
2019-03-14 05:27:00,1
2019-03-14 09:42:00,8
