353,"SELECT g.source_id, g.ra, g.dec     FROM GaiaDR2.gaia_source as g     WHERE         g.ra > # AND         g.ra < # AND         g.dec > # AND         g.dec < #     ORDER BY g.ra"
2019-11-19 06:26:00,5
2019-11-19 06:31:00,27
2019-11-19 06:32:00,17
2019-11-19 06:33:00,14
2019-11-19 06:46:00,29
2019-11-19 06:51:00,29
2019-11-19 06:57:00,29
2019-11-19 07:00:00,18
2019-11-19 07:01:00,11
2019-11-19 07:04:00,29
2019-11-19 07:07:00,8
2019-11-19 07:08:00,21
2019-11-19 11:19:00,9
2019-11-19 11:20:00,20
2019-11-19 12:19:00,18
2019-11-19 12:20:00,11
2019-11-19 12:51:00,29
2019-11-19 13:27:00,14
2019-11-19 13:28:00,15
